Country (Citing Country)	Year	Gini-Coefficient
united states	2000	0.9600697138010567
united kingdom	2000	0.945952751579526
germany	2000	0.9513053461788049
china	2000	0.9610730133118198
japan	2000	0.9589619228811064
france	2000	0.955370207784607
canada	2000	0.9611453601557434
india	2000	0.9850746268656716
italy	2000	0.9547542010228582
spain	2000	0.9583860359220838
all countries	2000	0.9638835045269246
united states	2001	0.9558006850111338
united kingdom	2001	0.9435226291155263
germany	2001	0.9461648974379441
china	2001	0.9586886993603395
japan	2001	0.9594067877174648
france	2001	0.956312189054726
canada	2001	0.9599050203527812
india	2001	0.9850746268656716
italy	2001	0.9548362085675507
spain	2001	0.9584221748400856
all countries	2001	0.9626318831386887
united states	2002	0.9533398821218078
united kingdom	2002	0.9415920398009945
germany	2002	0.944081777988784
china	2002	0.9435210312075977
japan	2002	0.959415767510057
france	2002	0.9555206919945726
canada	2002	0.9571817717496188
india	2002	0.960554371002135
italy	2002	0.9533947907521212
spain	2002	0.9479513261716895
all countries	2002	0.9559109851336742
united states	2003	0.9500332495936151
united kingdom	2003	0.9377116233713445
germany	2003	0.9437943174492981
china	2003	0.9439373381028754
japan	2003	0.9549306512623523
france	2003	0.9554658130792423
canada	2003	0.9536861148801437
india	2003	0.9531886024423357
italy	2003	0.9513898397918656
spain	2003	0.9474120624945446
all countries	2003	0.9531266171383526
united states	2004	0.9459462132676585
united kingdom	2004	0.9359064340311667
germany	2004	0.9395763119884452
china	2004	0.930703624733474
japan	2004	0.954206241519675
france	2004	0.950715704752687
canada	2004	0.953081129008425
india	2004	0.9458144062297182
italy	2004	0.9423587583554606
spain	2004	0.9370916501828214
all countries	2004	0.9471856256797291
united states	2005	0.9414567229893465
united kingdom	2005	0.934843057998103
germany	2005	0.9366775589508084
china	2005	0.9282710160537517
japan	2005	0.9523883608186374
france	2005	0.9494754405613605
canada	2005	0.953291437549097
india	2005	0.9429465575349046
italy	2005	0.9425081297423504
spain	2005	0.9404631255487261
all countries	2005	0.9449805205789733
united states	2006	0.9355140498624203
united kingdom	2006	0.9277768595635211
germany	2006	0.9339630821925232
china	2006	0.9228534745626696
japan	2006	0.947835367612517
france	2006	0.943955962760454
canada	2006	0.9484439003719572
india	2006	0.9373586612392603
italy	2006	0.9340403246923282
spain	2006	0.9387620719929751
all countries	2006	0.9394220752143928
united states	2007	0.9322188102549449
united kingdom	2007	0.9233101320321474
germany	2007	0.9308969856599345
china	2007	0.9191005107353594
japan	2007	0.9434308149773374
france	2007	0.9424181344083442
canada	2007	0.9449566837626542
india	2007	0.9295828549559894
italy	2007	0.9300727017416707
spain	2007	0.9254892850920485
all countries	2007	0.9342512587175701
united states	2008	0.9278630083781833
united kingdom	2008	0.9213521433926253
germany	2008	0.9261634725348367
china	2008	0.9186203936071861
japan	2008	0.93651676008226
france	2008	0.9360782730472736
canada	2008	0.9405852188017111
india	2008	0.911542967755082
italy	2008	0.9275001802581301
spain	2008	0.921091622181066
all countries	2008	0.9284937255534959
united states	2009	0.9243881915442276
united kingdom	2009	0.9194573690253183
germany	2009	0.9225163011084168
china	2009	0.918939783839423
japan	2009	0.9328602646772679
france	2009	0.9322856228242167
canada	2009	0.935527930638584
india	2009	0.9101800414965533
italy	2009	0.9251570333659878
spain	2009	0.9212522076392967
all countries	2009	0.9258481407890492
united states	2010	0.9197297018982026
united kingdom	2010	0.9163485298490367
germany	2010	0.9203012176471728
china	2010	0.9157304288187067
japan	2010	0.9304260173180549
france	2010	0.926124827575519
canada	2010	0.9311435778852221
india	2010	0.900144107050952
italy	2010	0.9216845489892024
spain	2010	0.9175965047680094
all countries	2010	0.9214125128790307
united states	2011	0.9164666133191075
united kingdom	2011	0.9121048617840494
germany	2011	0.9180663153327353
china	2011	0.9137507086844897
japan	2011	0.9268255790643836
france	2011	0.9220212496837842
canada	2011	0.9281618467268355
india	2011	0.8988734430772466
italy	2011	0.9191093866530724
spain	2011	0.9132006148948463
all countries	2011	0.9182839798236637
