Country	Referenced Country	Percentage
algeria	algeria	5.442176870748299
algeria	anguilla	0.0
algeria	argentina	0.0
algeria	armenia	0.0
algeria	australia	0.0
algeria	austria	0.0
algeria	azerbaijan	0.0
algeria	bahrain	2.0408163265306123
algeria	bangladesh	0.0
algeria	belarus	0.0
algeria	belgium	0.0
algeria	bosnia and herzegovina	0.0
algeria	botswana	0.0
algeria	brazil	0.0
algeria	brunei	0.0
algeria	bulgaria	0.0
algeria	burkina faso	0.0
algeria	cambodia	0.0
algeria	cameroon	0.0
algeria	canada	4.081632653061225
algeria	cape verde	0.0
algeria	chile	0.0
algeria	china	3.401360544217687
algeria	colombia	0.0
algeria	costa rica	0.0
algeria	croatia	0.0
algeria	cuba	0.0
algeria	cyprus	0.0
algeria	czech republic	0.6802721088435374
algeria	czechia	0.0
algeria	denmark	0.6802721088435374
algeria	djibouti	0.0
algeria	ecuador	0.0
algeria	egypt	3.401360544217687
algeria	equatorial guinea	0.0
algeria	estonia	0.0
algeria	ethiopia	0.0
algeria	fiji	0.0
algeria	finland	0.6802721088435374
algeria	france	6.802721088435374
algeria	gabon	0.0
algeria	germany	4.081632653061225
algeria	ghana	0.0
algeria	greece	1.3605442176870748
algeria	guadeloupe	0.0
algeria	guatemala	0.0
algeria	guinea	0.0
algeria	haiti	0.0
algeria	hong kong	0.0
algeria	hungary	0.0
algeria	iceland	0.0
algeria	india	0.6802721088435374
algeria	indonesia	0.0
algeria	iran	0.0
algeria	iraq	0.0
algeria	ireland	0.6802721088435374
algeria	israel	0.6802721088435374
algeria	italy	4.761904761904762
algeria	jamaica	0.0
algeria	japan	2.0408163265306123
algeria	jersey	0.0
algeria	jordan	2.0408163265306123
algeria	kazakhstan	0.0
algeria	kenya	0.0
algeria	korea	0.0
algeria	kosovo	0.0
algeria	kuwait	0.0
algeria	kyrgyzstan	0.0
algeria	latvia	0.6802721088435374
algeria	lebanon	2.0408163265306123
algeria	libya	0.0
algeria	lithuania	0.0
algeria	luxembourg	0.0
algeria	macau	0.0
algeria	macedonia	0.0
algeria	malaysia	0.0
algeria	malta	0.0
algeria	mauritius	0.0
algeria	mexico	0.6802721088435374
algeria	moldova	0.0
algeria	mongolia	0.0
algeria	morocco	0.6802721088435374
algeria	myanmar	0.0
algeria	namibia	0.0
algeria	nepal	0.0
algeria	netherlands	0.0
algeria	new zealand	1.3605442176870748
algeria	niger	0.0
algeria	nigeria	0.6802721088435374
