Country	Referenced Country	Percentage
argentina	argentina	0.0
argentina	australia	0.0
argentina	austria	0.0
argentina	bahrain	0.0
argentina	bangladesh	0.0
argentina	belgium	0.0
argentina	brazil	0.0
argentina	brunei	0.0
argentina	bulgaria	0.0
argentina	cambodia	0.0
argentina	canada	0.0
argentina	chile	0.0
argentina	china	0.0
argentina	colombia	0.0
argentina	costa rica	0.0
argentina	croatia	0.0
argentina	cyprus	0.0
argentina	czech republic	0.0
argentina	czechia	0.0
argentina	denmark	0.0
argentina	ecuador	0.0
argentina	egypt	0.0
argentina	estonia	0.0
argentina	ethiopia	0.0
argentina	finland	0.0
argentina	france	0.0
argentina	germany	0.0
argentina	greece	0.0
argentina	guatemala	0.0
argentina	guinea	0.0
argentina	haiti	0.0
argentina	hong kong	0.0
argentina	hungary	0.0
argentina	india	0.0
argentina	indonesia	0.0
argentina	iran	0.0
argentina	ireland	0.0
argentina	israel	0.0
argentina	italy	0.0
argentina	japan	0.0
argentina	jersey	0.0
argentina	kazakhstan	0.0
argentina	korea	0.0
argentina	kosovo	0.0
argentina	kuwait	0.0
argentina	luxembourg	0.0
argentina	malaysia	0.0
argentina	mexico	0.0
argentina	moldova	0.0
argentina	mongolia	0.0
argentina	morocco	0.0
argentina	nepal	0.0
argentina	netherlands	0.0
argentina	new zealand	0.0
argentina	niger	0.0
argentina	nigeria	0.0
argentina	north macedonia	0.0
argentina	norway	0.0
argentina	pakistan	0.0
argentina	panama	0.0
argentina	peru	0.0
argentina	philippines	0.0
argentina	poland	0.0
argentina	portugal	0.0
argentina	reunion	0.0
argentina	romania	0.0
argentina	russia	0.0
argentina	saint martin	0.0
argentina	saudi arabia	0.0
argentina	singapore	0.0
argentina	slovenia	0.0
argentina	south africa	0.0
argentina	spain	0.0
argentina	sweden	0.0
argentina	switzerland	0.0
argentina	taiwan	0.0
argentina	thailand	0.0
argentina	tunisia	0.0
argentina	turkey	0.0
argentina	ukraine	0.0
argentina	united kingdom	0.0
argentina	united states	0.0
argentina	vietnam	0.0
australia	argentina	0.0
australia	australia	7.407407407407407
australia	austria	0.0
australia	bahrain	0.0
australia	bangladesh	0.0
australia	belgium	0.0
australia	brazil	0.0
australia	brunei	0.0
australia	bulgaria	0.0
australia	cambodia	0.0
australia	canada	11.11111111111111
australia	chile	0.0
australia	china	0.0
australia	colombia	0.0
australia	costa rica	0.0
australia	croatia	0.0
australia	cyprus	0.0
australia	czech republic	0.0
australia	czechia	0.0
australia	denmark	0.0
australia	ecuador	0.0
australia	egypt	0.0
australia	estonia	0.0
australia	ethiopia	0.0
australia	finland	0.0
australia	france	3.7037037037037037
australia	germany	3.7037037037037037
australia	greece	0.0
australia	guatemala	0.0
