Country	Age of Paper	Paper Count	Citation Count	Citation Average (per paper)
spain	1	641	2277	3.5522620904836195
spain	2	724	3367	4.650552486187845
spain	3	724	3980	5.497237569060774
spain	4	713	4361	6.1164095371669
spain	5	673	4725	7.020802377414562
spain	6	612	4182	6.833333333333333
spain	7	570	4056	7.11578947368421
spain	8	514	3868	7.525291828793774
spain	9	466	3541	7.598712446351931
spain	10	399	3304	8.280701754385966
spain	11	352	2895	8.224431818181818
spain	12	289	2268	7.8477508650519034
spain	13	249	1960	7.871485943775101
spain	14	203	1499	7.384236453201971
spain	15	171	1307	7.643274853801169
spain	16	131	769	5.870229007633588
spain	17	120	668	5.566666666666666
spain	18	87	408	4.689655172413793
spain	19	81	372	4.592592592592593
spain	20	57	291	5.105263157894737
italy	1	709	2970	4.188998589562765
italy	2	775	4582	5.912258064516129
italy	3	761	5479	7.199737187910644
italy	4	749	6351	8.479305740987984
italy	5	718	6932	9.654596100278551
italy	6	674	7381	10.951038575667656
italy	7	638	7715	12.092476489028213
italy	8	562	7068	12.576512455516013
italy	9	500	6279	12.558
italy	10	434	5781	13.320276497695852
italy	11	389	5171	13.29305912596401
italy	12	332	3911	11.78012048192771
italy	13	298	3565	11.963087248322148
italy	14	253	2968	11.731225296442688
italy	15	226	2477	10.960176991150442
italy	16	164	1329	8.103658536585366
italy	17	151	1137	7.529801324503311
italy	18	113	566	5.008849557522124
italy	19	109	547	5.018348623853211
italy	20	84	466	5.5476190476190474
india	1	844	3065	3.631516587677725
india	2	789	3903	4.946768060836502
india	3	739	3886	5.2584573748308525
india	4	634	3213	5.0678233438485805
india	5	580	3090	5.327586206896552
india	6	483	2741	5.674948240165631
india	7	439	2490	5.671981776765376
india	8	400	2337	5.8425
india	9	348	2267	6.514367816091954
india	10	269	2018	7.5018587360594795
india	11	219	1840	8.401826484018265
india	12	155	1402	9.04516129032258
india	13	112	1013	9.044642857142858
india	14	62	697	11.241935483870968
india	15	47	259	5.51063829787234
india	16	35	152	4.3428571428571425
india	17	19	63	3.3157894736842106
india	18	12	50	4.166666666666667
india	19	6	13	2.1666666666666665
india	20	4	8	2.0
canada	1	1012	4911	4.852766798418973
canada	2	1030	7981	7.748543689320388
canada	3	976	10150	10.399590163934427
canada	4	896	11268	12.575892857142858
canada	5	800	9038	11.2975
canada	6	742	9095	12.257412398921833
canada	7	698	8900	12.750716332378223
canada	8	649	8978	13.833590138674884
canada	9	594	8705	14.654882154882156
canada	10	494	7499	15.180161943319838
canada	11	457	6957	15.223194748358862
canada	12	399	5648	14.155388471177945
canada	13	353	5216	14.776203966005665
canada	14	316	4829	15.281645569620252
canada	15	277	3993	14.415162454873647
canada	16	228	2933	12.864035087719298
canada	17	207	2654	12.821256038647343
canada	18	178	2452	13.775280898876405
canada	19	152	1985	13.05921052631579
canada	20	137	1332	9.722627737226277
france	1	1334	4152	3.1124437781109444
france	2	1475	6384	4.328135593220339
france	3	1441	7500	5.20471894517696
france	4	1379	7983	5.788977519941987
france	5	1292	7940	6.145510835913313
france	6	1180	7817	6.624576271186441
france	7	1117	8029	7.188003581020591
france	8	989	5875	5.940343781597574
france	9	916	5607	6.12117903930131
france	10	754	4829	6.404509283819628
france	11	673	4423	6.5720653789004455
france	12	562	3499	6.225978647686833
