Region	Age of Paper	Paper Count	Citation Count	Citation Average (per paper)
central asia	1	146	730	5.0
central asia	2	155	857	5.529032258064516
central asia	3	124	601	4.846774193548387
central asia	4	111	437	3.936936936936937
central asia	5	90	411	4.566666666666666
central asia	6	74	405	5.472972972972973
central asia	7	68	444	6.529411764705882
central asia	8	55	430	7.818181818181818
central asia	9	43	142	3.302325581395349
central asia	10	35	116	3.3142857142857145
central asia	11	31	107	3.4516129032258065
central asia	12	26	103	3.9615384615384617
central asia	13	26	110	4.230769230769231
central asia	14	24	107	4.458333333333333
central asia	15	22	103	4.681818181818182
central asia	16	20	101	5.05
central asia	17	20	101	5.05
central asia	18	16	94	5.875
central asia	19	14	92	6.571428571428571
central asia	20	9	17	1.8888888888888888
africa	1	157	374	2.3821656050955413
africa	2	160	500	3.125
africa	3	162	513	3.1666666666666665
africa	4	150	561	3.74
africa	5	138	557	4.036231884057971
africa	6	118	571	4.838983050847458
africa	7	109	510	4.678899082568807
africa	8	85	421	4.952941176470588
africa	9	76	382	5.026315789473684
africa	10	67	354	5.2835820895522385
africa	11	64	340	5.3125
africa	12	52	238	4.576923076923077
africa	13	42	207	4.928571428571429
africa	14	34	193	5.676470588235294
africa	15	32	186	5.8125
africa	16	23	159	6.913043478260869
africa	17	17	130	7.647058823529412
africa	18	14	124	8.857142857142858
africa	19	12	72	6.0
africa	20	11	67	6.090909090909091
south america	1	179	530	2.9608938547486034
south america	2	204	755	3.700980392156863
south america	3	202	894	4.425742574257426
south america	4	179	932	5.206703910614525
south america	5	164	967	5.896341463414634
south america	6	148	974	6.581081081081081
south america	7	132	780	5.909090909090909
south america	8	120	628	5.233333333333333
south america	9	101	594	5.881188118811881
south america	10	85	466	5.482352941176471
south america	11	65	394	6.061538461538461
south america	12	44	305	6.931818181818182
south america	13	38	268	7.052631578947368
south america	14	30	251	8.366666666666667
south america	15	27	231	8.555555555555555
south america	16	18	171	9.5
south america	17	16	165	10.3125
south america	18	11	146	13.272727272727273
south america	19	12	164	13.666666666666666
south america	20	9	130	14.444444444444445
south-eastern asia	1	599	2585	4.315525876460768
south-eastern asia	2	600	3962	6.6033333333333335
south-eastern asia	3	549	4442	8.091074681238617
south-eastern asia	4	505	4573	9.055445544554455
south-eastern asia	5	477	4781	10.023060796645701
south-eastern asia	6	430	4886	11.362790697674418
south-eastern asia	7	400	5047	12.6175
south-eastern asia	8	363	5038	13.878787878787879
south-eastern asia	9	339	4640	13.687315634218288
south-eastern asia	10	299	4459	14.91304347826087
south-eastern asia	11	247	4094	16.574898785425102
south-eastern asia	12	203	3437	16.93103448275862
south-eastern asia	13	159	2864	18.0125786163522
south-eastern asia	14	116	2446	21.086206896551722
south-eastern asia	15	100	2151	21.51
south-eastern asia	16	82	1777	21.670731707317074
south-eastern asia	17	65	1450	22.307692307692307
south-eastern asia	18	45	1067	23.711111111111112
south-eastern asia	19	36	880	24.444444444444443
south-eastern asia	20	26	764	29.384615384615383
eastern europe	1	572	1776	3.104895104895105
eastern europe	2	642	2616	4.074766355140187
eastern europe	3	603	2956	4.902155887230514
eastern europe	4	567	2974	5.245149911816578
eastern europe	5	509	2879	5.656188605108055
eastern europe	6	455	2480	5.450549450549451
eastern europe	7	427	2436	5.704918032786885
eastern europe	8	373	2203	5.906166219839142
eastern europe	9	318	1959	6.160377358490566
eastern europe	10	261	1725	6.609195402298851
eastern europe	11	239	1679	7.02510460251046
eastern europe	12	208	1526	7.336538461538462
eastern europe	13	183	1439	7.863387978142076
eastern europe	14	143	1232	8.615384615384615
eastern europe	15	123	1035	8.414634146341463
eastern europe	16	90	571	6.344444444444444
eastern europe	17	80	474	5.925
eastern europe	18	57	347	6.087719298245614
eastern europe	19	49	268	5.469387755102041
eastern europe	20	36	147	4.083333333333333
